,school_name,faculty_name,affiliation,citedby5y,hindex,hindex5y,i10index,i10index5y
36,Caltech,David Van Valen,California Institute of Technology,2247,13,12,13,13
37,Caltech,Rebecca Voorhees,California Institute of Technology,1776,16,15,17,17
38,Caltech,Daniel Wagenaar,"Research Professor, California Institute of Technology",1434,24,18,36,29
39,Caltech,Erik Winfree,California Institute of Technology,10548,61,44,102,79
40,Caltech,Changhuei Yang,"Thomas G Myers Professor, California Institute of Technology",12805,73,55,235,189
41,JHU,Nichole Broderick,"Assistant Professor, Johns Hopkins University",3546,24,23,36,35
42,JHU,Xin Chen,Johns Hopkins University,1098,26,20,46,38
43,JHU,Kyle Cunningham,"Professor of Biology, Johns Hopkins University",1624,41,27,52,43
44,JHU,Andrew Gordus,"Assistant Professor of Biology, Johns Hopkins University",3399,17,14,17,17
45,JHU,Vincent Hilser,"Professor and Chair, Department of Biology,  Johns Hopkins University",2889,44,26,73,45
46,JHU,Robert Johnston,"Associate Professor, Johns Hopkins University",1363,25,20,32,30
47,JHU,Christian Kaiser,"Associate Professor, Department of Biology, Johns Hopkins University",982,16,14,18,16
48,JHU,John Kim,"Associate Professor of Biology, Johns Hopkins University",2934,38,34,45,42
49,JHU,Yumi Kim,Johns Hopkins University,571,11,10,11,10
50,JHU,Rejji Kuruvilla,"Professor, Johns Hopkins University",1703,27,25,38,34
51,JHU,Rajiv McCoy,"Assistant Professor of Biology, Johns Hopkins University",3023,21,21,27,27
52,JHU,Michael Schatz,"Bloomberg Distinguished Professor, Johns Hopkins University",23453,77,68,152,142
53,JHU,Trina Schroer,"Professor of Biology, Johns Hopkins University",2687,58,28,81,56
54,JHU,Tatjana Trcek,"Assistant Professor, Johns Hopkins University",1099,15,14,16,15
55,JHU,Mark Van Doren,Johns Hopkins,998,29,19,35,30
56,JHU,Carl Wu,"Professor of Biology and of Molecular Biology & Genetics, Johns Hopkins University",5238,83,41,120,84
57,JHU,Haiqing Zhao,"Professor, Johns Hopkins University",1969,25,21,32,27
58,MIT,Tania A. Baker,"Professor of Biology, MIT",6703,79,42,173,116
59,MIT,David Bartel,"Professor of Biology, HHMI, MIT, Whitehead Institute",82057,124,95,206,181
60,MIT,Eliezer Calo,"Assistant Professor of Biology, Massachusetts Institute of Technology",2245,13,13,13,13
61,MIT,Lindsay Case,MIT,1508,10,10,10,10
62,MIT,Iain M. Cheeseman,"Whitehead Institute and Department of Biology, MIT",6363,55,42,83,80
63,MIT,Jianzhu Chen,"Professor of Biology, Massachusetts Institute of Technology",8024,82,49,195,150
64,MIT,Sallie (Penny) W. Chisholm,"Institute Professor, Massachusetts Institute of Technology",13333,108,64,202,150
65,MIT,Ibrahim Cissé,MIT,4401,16,16,18,18
66,MIT,Olivia Corradin,Whitehead Institute for Biomedical Research,1166,11,11,11,11
67,MIT,Joseph (Joey) Davis,Assistant Professor | Department of Biology | MIT,1881,21,19,24,23
68,MIT,Catherine Drennan,"Professor of Biology and Chemistry, MIT and HHMI Investigator",5395,59,42,145,130
69,MIT,Mary Gehring,Whitehead Institute for Biomedical Research,3433,29,27,34,33
70,MIT,Alan D. Grossman,Massachusetts Institute of Technology,5607,82,44,144,117
71,MIT,Siniša Hrvatin,"Assistant Professor of Biology, MIT",1821,19,18,21,21
72,MIT,Kristin Knouse,Massachusetts Institute of Technology,1081,10,10,10,10
73,MIT,Rebecca Lamason,Assistant Professor at Massachusetts Institute of Technology,767,11,10,11,10
74,MIT,Michael T. Laub,"Professor of Biology, MIT and Howard Hughes Medical Institute",6985,57,45,92,88
75,MIT,Douglas Lauffenburger,MIT,16754,128,65,386,265
76,MIT,Jacqueline Lees,Koch Institute of Integrative Cancer Research @ MIT,4224,62,36,93,77
77,MIT,Ruth Lehmann,Whitehead Institute and MIT,6576,84,47,145,115
78,MIT,Gene-Wei Li,MIT,5941,25,24,30,28
79,MIT,Pulin Li,"Member, Whitehead Institute for Biomedical Research; Assistant Professor of Biology, MIT",1214,16,13,16,13
80,MIT,Troy Littleton,"Professor of Neuroscience, MIT",3887,50,32,89,82
81,MIT,Sebastian Lourido,Whitehead Institute for Biomedical Research,2886,26,25,35,34
82,MIT,Adam C. Martin,"Department of Biology, MIT",3391,32,29,46,43
83,MIT,Hernandez Moura Silva,"Assistant Professor of Biology, MIT.",950,15,13,17,14
84,MIT,Alison E. Ringel,"Assistant Professor, MIT Department of Biology; Core Member, Ragon Institute",1594,17,16,18,17
85,MIT,Francisco J. Sánchez-Rivera,Massachusetts Institute of Technology,3334,23,23,29,29
86,MIT,Thomas U. Schwartz,Professor of Biology,3790,46,33,67,58
87,MIT,Anthony J. Sinskey,MIT,6378,88,43,309,157
88,MIT,Stefani Spranger,Massachusetts Institute of Technology,11558,41,37,59,55
89,MIT,Seychelle M. Vos,"Assistant Professor, MIT Department of Biology",1571,15,13,17,17
90,MIT,Graham C. Walker,"American Cancer Society Professor, Massachusetts Institute of Technology",11083,104,46,312,174
91,MIT,Bruce Walker,"Director, Ragon Institute of MGH, MIT and Harvard",30816,167,85,613,416
92,MIT,Robert A. Weinberg,MIT,121378,209,108,453,289
93,MIT,Brandon Weissbourd,MIT,1754,10,10,10,10
94,MIT,Jing-Ke Weng,"Associate Professor, Whitehead Institute for Biomedical Research and MIT",5097,41,38,66,64
95,MIT,Matthew A. Wilson,MIT,15174,69,51,135,109
96,MIT,Harikesh S. Wong,"Assistant Professor of Biology, MIT | Core Member, Ragon Institute of MGH, MIT, and Harvard",340,8,8,8,8
97,MIT,Yukiko Yamashita,Whitehead Institute/MIT,2939,45,33,74,65
98,MIT,Omer H. Yilmaz,Massachusetts Institute of Technology,8343,43,38,79,77
99,MIT,Richard A. Young,"Professor of Biology, MIT",52980,181,106,373,266
100,Princeton,Britt Adamson,"Assistant Professor, Princeton",6101,21,20,21,21
101,Princeton,Bonnie L. Bassler,Princeton University,23791,99,73,180,160
102,Princeton,John F. Brooks II,Princeton University,393,4,4,2,2
103,Princeton,Rebecca D. Burdine,"Professor of Molecular Biology, Princeton University",2815,40,29,51,48
104,Princeton,Mohamed S. Donia,"Assistant Professor of Molecular Biology, Princeton University",4404,32,28,40,39
105,Princeton,Elizabeth R. Gavis,Unknown affiliation,1725,38,23,64,48
106,Princeton,Zemer Gitai,"Professor of Molecular Biology, Princeton University",5064,47,39,71,65
107,Princeton,Frederick M. Hughson,"Professor of Molecular Biology, Princeton University",3083,45,27,60,47
108,Princeton,John R. Jimah,Princeton University,649,10,10,10,10
109,Princeton,Martin Jonikas,Princeton University and Howard Hughes Medical Institute,2694,26,23,29,29
110,Princeton,Yibin Kang,"Warner-Lambert/Parke-Davis Professor of Molecular Biology, Princeton University",23018,86,67,166,146
111,Princeton,Ricardo Mallarino,"Assistant Professor of Molecular Biology, Princeton University",853,14,13,15,14
